,position_id,sim_open_datetime,sim_price_change,sim_pct_gain,sim_total_gain,sim_open_trade_dt,sim_close_trade_dt,sim_position_id,sim_order_num,sim_sell_info.max_value_before,sim_sell_info.max_value_before_idx,sim_sell_info.max_value_before_date,sim_sell_info.max_value_before_pct_change,sim_sell_info.max_value_after,sim_sell_info.max_value_after_idx,sim_sell_info.max_value_after_date,sim_sell_info.max_value_after_pct_change,sim_sell_info.close_price,sim_sell_info.close_datetime,sim_sell_info.quantity,sim_sell_info.contract_cost,option_symbol,sim_sell_info.sell_code,sim_sell_info.position_id,sim_sell_info.order_id,sim_buy_info.open_price,sim_buy_info.open_datetime,sim_buy_info.quantity,sim_buy_info.contract_cost,sim_buy_info.option_symbol,sim_buy_info.position_id,sim_buy_info.contract_type,sim_buy_info.order_id
10,PYPL-CDBFC1D-2024-05-21-14,2024-05-21 14:00,0.14,116.66666666666667,196.00000000000003,2024-05-21 14:00,2024-05-22 09:30,PYPL-CDBFC1D-2024-05-21-14,1,0.14,6,2024-05-21 15:30,0.16666666666666682,0.26,8,2024-05-22 09:30,1.1666666666666667,0.26,2024-05-22 09:30:00-04:00,14,26.0,PYPL240524C00066000,"Failed momentum gate, sell.",PYPL-CDBFC1D-2024-05-21-14,1_05+21,0.12,2024-05-21 14:56:00-04:00,14,12.0,O:PYPL240524C00066000,PYPL-CDBFC1D-2024-05-21-14,calls,1_05+21
11,PYPL-CDBFC1D-2024-05-21-14,2024-05-21 14:00,-0.07999999999999999,-26.666666666666668,-31.999999999999996,2024-05-21 14:00,2024-05-22 09:30,PYPL-CDBFC1D-2024-05-21-14,0,0.35,7,2024-05-21 15:45,0.16666666666666663,0.22,8,2024-05-22 09:30,-0.26666666666666666,0.22,2024-05-22 09:30:00-04:00,4,22.0,PYPL240524C00065000,"Failed momentum gate, sell.",PYPL-CDBFC1D-2024-05-21-14,0_05+21,0.3,2024-05-21 14:56:00-04:00,4,30.0,O:PYPL240524C00065000,PYPL-CDBFC1D-2024-05-21-14,calls,0_05+21
12,GOOGL-CDBFP1D-2024-05-20-14,2024-05-20 14:00,-0.010000000000000009,-2.5641025641025665,-6.000000000000005,2024-05-20 14:00,2024-05-21 09:30,GOOGL-CDBFP1D-2024-05-20-14,1,0.42,0,2024-05-20 14:00,0.07692307692307684,0.55,8,2024-05-21 09:30,0.4102564102564103,0.38,2024-05-21 09:30:00-04:00,6,38.0,GOOGL240524P00172500,"Hit exit target, sell.",GOOGL-CDBFP1D-2024-05-20-14,1_05+20,0.39,2024-05-20 14:56:00-04:00,6,39.0,O:GOOGL240524P00172500,GOOGL-CDBFP1D-2024-05-20-14,puts,1_05+20
13,GOOG-CDBFP1D-2024-05-20-15,2024-05-20 15:00,0.010000000000000009,0.7692307692307698,1.0000000000000009,2024-05-20 15:00,2024-05-21 09:30,GOOG-CDBFP1D-2024-05-20-15,0,1.34,3,2024-05-20 15:45,0.030769230769230795,1.71,4,2024-05-21 09:30,0.3153846153846153,1.31,2024-05-21 09:30:00-04:00,1,131.0,GOOG240524P00177500,"Hit exit target, sell.",GOOG-CDBFP1D-2024-05-20-15,0_05+20,1.3,2024-05-20 15:56:00-04:00,1,130.0,O:GOOG240524P00177500,GOOG-CDBFP1D-2024-05-20-15,puts,0_05+20
14,GOOG-CDBFP1D-2024-05-20-15,2024-05-20 15:00,0.019999999999999907,3.5714285714285547,7.999999999999963,2024-05-20 15:00,2024-05-21 09:30,GOOG-CDBFP1D-2024-05-20-15,1,0.59,3,2024-05-20 15:45,0.053571428571428416,0.79,4,2024-05-21 09:30,0.41071428571428564,0.58,2024-05-21 09:30:00-04:00,4,57.99999999999999,GOOG240524P00175000,"Hit exit target, sell.",GOOG-CDBFP1D-2024-05-20-15,1_05+20,0.56,2024-05-20 15:56:00-04:00,4,56.0,O:GOOG240524P00175000,GOOG-CDBFP1D-2024-05-20-15,puts,1_05+20
15,GOOGL-CDBFP1D-2024-05-20-14,2024-05-20 14:00,-0.020000000000000018,-2.061855670103095,-6.000000000000005,2024-05-20 14:00,2024-05-21 09:30,GOOGL-CDBFP1D-2024-05-20-14,0,1.05,0,2024-05-20 14:00,0.08247422680412379,1.27,8,2024-05-21 09:30,0.309278350515464,0.95,2024-05-21 09:30:00-04:00,3,95.0,GOOGL240524P00175000,"Hit exit target, sell.",GOOGL-CDBFP1D-2024-05-20-14,0_05+20,0.97,2024-05-20 14:56:00-04:00,3,97.0,O:GOOGL240524P00175000,GOOGL-CDBFP1D-2024-05-20-14,puts,0_05+20
16,GOOG-CDBFP1D-2024-05-20-15,2024-05-20 15:00,0.010000000000000009,4.761904761904766,9.000000000000007,2024-05-20 15:00,2024-05-21 09:30,GOOG-CDBFP1D-2024-05-20-15,2,0.23,3,2024-05-20 15:45,0.09523809523809533,0.3,4,2024-05-21 09:30,0.42857142857142855,0.22,2024-05-21 09:30:00-04:00,9,22.0,GOOG240524P00172500,"Hit exit target, sell.",GOOG-CDBFP1D-2024-05-20-15,2_05+20,0.21,2024-05-20 15:56:00-04:00,9,21.0,O:GOOG240524P00172500,GOOG-CDBFP1D-2024-05-20-15,puts,2_05+20
17,SPY-CDBFP1D-2024-05-20-16,2024-05-20 16:00,-0.1399999999999999,-8.383233532934126,-13.99999999999999,2024-05-20 16:00,2024-05-21 09:45,SPY-CDBFP1D-2024-05-20-16,1,1.77,0,2024-05-21 09:30,0.05988023952095814,1.66,1,2024-05-21 09:45,-0.005988023952095814,1.53,2024-05-21 09:45:00-04:00,1,153.0,SPY240522P00529000,"Hit exit target, sell.",SPY-CDBFP1D-2024-05-20-16,1_05+20,1.67,2024-05-20 16:56:00-04:00,1,167.0,O:SPY240522P00529000,SPY-CDBFP1D-2024-05-20-16,puts,1_05+20
18,SPY-CDBFP1D-2024-05-20-16,2024-05-20 16:00,-0.16999999999999993,-7.906976744186044,-16.999999999999993,2024-05-20 16:00,2024-05-21 09:45,SPY-CDBFP1D-2024-05-20-16,0,2.26,0,2024-05-21 09:30,0.05116279069767436,2.13,1,2024-05-21 09:45,-0.009302325581395357,1.98,2024-05-21 09:45:00-04:00,1,198.0,SPY240522P00530000,"Hit exit target, sell.",SPY-CDBFP1D-2024-05-20-16,0_05+20,2.15,2024-05-20 16:56:00-04:00,1,215.0,O:SPY240522P00530000,SPY-CDBFP1D-2024-05-20-16,puts,0_05+20
19,SPY-CDBFP1D-2024-05-20-14,2024-05-20 14:00,0.07000000000000006,4.79452054794521,7.000000000000006,2024-05-20 14:00,2024-05-21 09:45,SPY-CDBFP1D-2024-05-20-14,0,1.97,0,2024-05-20 14:00,0.3493150684931507,1.66,9,2024-05-21 09:45,0.13698630136986298,1.53,2024-05-21 09:45:00-04:00,1,153.0,SPY240522P00529000,"Hit exit target, sell.",SPY-CDBFP1D-2024-05-20-14,0_05+20,1.46,2024-05-20 14:56:00-04:00,1,146.0,O:SPY240522P00529000,SPY-CDBFP1D-2024-05-20-14,puts,0_05+20
